127.0.0.1 - - [09/Apr/2018:02:35:45 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:12 -0700] "GET /Online_FIR_System/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:21 -0700] "GET /Online_FIR_System/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:21 -0700] "GET /Online_FIR_System/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:21 -0700] "GET /Online_FIR_System/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:21 -0700] "GET /Online_FIR_System/fonts/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:21 -0700] "GET /Online_FIR_System/js/modernizr.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:22 -0700] "GET /Online_FIR_System/js/jquery.1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:22 -0700] "GET /Online_FIR_System/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:22 -0700] "GET /Online_FIR_System/js/SmoothScroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:22 -0700] "GET /Online_FIR_System/js/jquery.counterup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:22 -0700] "GET /Online_FIR_System/js/waypoints.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:22 -0700] "GET /Online_FIR_System/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:23 -0700] "GET /Online_FIR_System/js/jquery.isotope.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:23 -0700] "GET /Online_FIR_System/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:23 -0700] "GET /Online_FIR_System/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:23 -0700] "GET /Online_FIR_System/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:24 -0700] "GET /Online_FIR_System/img/portfolio/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:24 -0700] "GET /Online_FIR_System/img/portfolio/02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:24 -0700] "GET /Online_FIR_System/img/portfolio/03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:24 -0700] "GET /Online_FIR_System/img/portfolio/04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:25 -0700] "GET /Online_FIR_System/img/portfolio/05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:25 -0700] "GET /Online_FIR_System/img/portfolio/06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:26 -0700] "GET /Online_FIR_System/img/portfolio/07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:26 -0700] "GET /Online_FIR_System/img/portfolio/08.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:26 -0700] "GET /Online_FIR_System/img/about.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:28 -0700] "GET /Online_FIR_System/img/header-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:28 -0700] "GET /Online_FIR_System/fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:30 -0700] "GET /Online_FIR_System/img/favicon.ico HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:54 -0700] "GET /Online_FIR_System/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:55 -0700] "GET /Online_FIR_System/css/sb-admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:55 -0700] "GET /Online_FIR_System/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:55 -0700] "GET /Online_FIR_System/img/15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:55 -0700] "GET /Online_FIR_System/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:55 -0700] "GET /Online_FIR_System/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:55 -0700] "GET /Online_FIR_System/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:55 -0700] "GET /Online_FIR_System/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:36:55 -0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:37:21 -0700] "POST /Online_FIR_System/LoginServlate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:37:21 -0700] "GET /Online_FIR_System/user.jsp HTTP/1.1" 200 12168
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:37:21 -0700] "GET /Online_FIR_System/js/sb-admin-datatables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:37:21 -0700] "GET /Online_FIR_System/js/sb-admin-charts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:02:37:21 -0700] "GET /Online_FIR_System/vendor/datatables/dataTables.bootstrap4.css HTTP/1.1" 304 -
