127.0.0.1 - - [12/May/2019:01:11:43 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:18 -0700] "GET /Online_FIR_System/SearchTheftForPolice.jsp HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:21 -0700] "GET /Online_FIR_System/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:21 -0700] "GET /Online_FIR_System/css/sb-admin.css HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:21 -0700] "GET /Online_FIR_System/vendor/datatables/dataTables.bootstrap4.css HTTP/1.1" 200 5604
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:21 -0700] "GET /Online_FIR_System/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:22 -0700] "GET /Online_FIR_System/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 67742
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:22 -0700] "GET /Online_FIR_System/vendor/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:22 -0700] "GET /Online_FIR_System/vendor/datatables/dataTables.bootstrap4.js HTTP/1.1" 200 4678
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:22 -0700] "GET /Online_FIR_System/js/sb-admin-datatables.min.js HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:22 -0700] "GET /Online_FIR_System/js/sb-admin.min.js HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:22 -0700] "GET /Online_FIR_System/js/sb-admin-charts.min.js HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [12/May/2019:01:12:22 -0700] "GET /Online_FIR_System/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 144877
